,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crimetype
204,Kundapur,5.0,12.0,0.0,54.0,0,0,0,0,2,Accident case
205,Kollur,4.0,12.0,0.0,33.0,0,0,1,1,2,Accident case
206,Udupi,5.0,12.0,0.0,50.0,0,0,0,0,2,Accident case
207,Udupi,5.0,12.0,1.0,58.0,0,0,0,3,2,Accident case
208,Karkala,5.0,12.0,1.0,29.0,0,0,0,1,2,Accident case
209,Udupi,5.0,12.0,0.0,35.0,1,0,2,1,1,Other case
210,Kundapur,5.0,12.0,1.0,15.0,0,0,0,3,2,Accident case
211,Manipal,2.0,7.0,0.0,39.0,0,0,0,3,2,Other case
212,Karkala,2.0,12.0,1.0,70.0,1,0,1,0,1,Accident case
213,Karkala,3.0,12.0,0.0,46.0,0,0,0,0,2,Accident case
214,Udupi,4.0,12.0,1.0,42.0,0,0,1,3,2,Violence Act in case
215,Byndoor,4.0,12.0,0.0,32.0,0,1,0,1,0,Theft case
216,Udupi,3.0,12.0,1.0,42.0,0,0,0,1,2,Accident case
217,Udupi,3.0,12.0,1.0,39.0,0,0,0,0,2,Accident case
218,Amasebailu,3.0,12.0,0.0,48.0,1,0,1,0,1,Accident case
219,Manipal,3.0,12.0,0.0,49.0,0,0,0,0,2,Theft case
220,Udupi,4.0,12.0,0.0,50.0,0,0,0,2,2,Missing case
221,Kundapur,2.0,12.0,1.0,40.0,0,0,0,0,2,Accident case
222,Kundapur,3.0,12.0,1.0,46.0,0,0,0,1,2,Accident case
223,Byndoor,1.0,12.0,0.0,23.0,1,0,6,2,1,Accident case
224,Udupi,3.0,12.0,1.0,50.0,0,0,0,0,2,Accident case
225,Karkala,2.0,12.0,1.0,45.0,0,0,0,2,2,Accident case
226,Shankaranarayana,0.0,12.0,1.0,19.0,1,0,3,0,1,Violence Act in case
227,Byndoor,2.0,12.0,0.0,39.0,0,1,3,1,0,Violence Act in case
228,Udupi,0.0,11.0,0.0,49.0,1,0,2,0,1,Theft case
229,Kundapur,3.0,12.0,0.0,39.0,0,0,0,0,2,Theft case
230,Udupi,2.0,12.0,1.0,57.0,1,0,2,0,1,Accident case
231,Udupi,0.0,11.0,0.0,39.0,1,0,5,1,1,Theft case
232,Kundapur,5.0,12.0,1.0,31.0,1,0,1,0,1,Theft case
233,Kundapur,5.0,12.0,0.0,60.0,1,0,1,0,1,Accident case
234,Byndoor,2.0,12.0,0.0,39.0,1,0,1,1,1,Accident case
235,Byndoor,1.0,12.0,0.0,21.0,1,0,2,3,1,Missing case
238,Shankaranarayana,0.0,1.0,0.0,68.0,0,0,0,0,2,Accident case
239,Kota,6.0,1.0,1.0,42.0,1,0,1,1,1,Accident case
240,Karkala,6.0,1.0,0.0,60.0,0,0,0,0,2,Theft case
241,Udupi,2.0,7.0,0.0,26.0,0,0,2,1,2,Accident case
242,Hebri,3.0,12.0,1.0,40.0,0,0,0,4,2,Accident case
243,Udupi,0.0,12.0,1.0,21.0,1,0,2,7,1,Other case
245,Manipal,4.0,12.0,1.0,39.0,0,0,0,0,2,Accident case
246,Hiriyadka,6.0,1.0,1.0,36.0,1,0,1,0,1,Accident case
247,Kollur,5.0,1.0,1.0,32.0,1,0,1,0,1,Accident case
248,Kota,6.0,1.0,0.0,23.0,0,0,0,1,2,Accident case
249,Udupi,1.0,12.0,0.0,27.0,0,0,0,0,2,Theft case
250,Manipal,4.0,12.0,0.0,39.0,1,0,1,1,1,Accident case
251,Kundapur,5.0,1.0,1.0,26.0,0,0,0,0,2,Accident case
252,Udupi,4.0,12.0,0.0,30.0,1,0,2,1,1,Accident case
253,Kota,5.0,1.0,0.0,35.0,1,0,3,0,1,Accident case
254,Hiriyadka,4.0,12.0,1.0,45.0,0,0,1,1,2,Accident case
255,Kundapur,5.0,1.0,0.0,19.0,0,0,0,0,2,Accident case
256,Udupi,4.0,12.0,1.0,35.0,0,0,0,0,2,Violence Act in case
257,Udupi,4.0,12.0,1.0,25.0,0,0,0,0,2,Violence Act in case
258,Udupi,3.0,12.0,1.0,39.0,1,0,2,0,1,Accident case
259,Udupi,4.0,12.0,1.0,34.0,0,0,1,2,2,Accident case
260,Udupi,0.0,11.0,0.0,44.0,0,0,0,0,2,Accident case
261,Udupi,4.0,12.0,0.0,47.0,0,0,1,1,2,Accident case
262,Amasebailu,2.0,12.0,0.0,28.0,0,0,0,1,2,Accident case
263,Manipal,3.0,12.0,1.0,26.0,0,0,0,0,2,Theft case
264,Shankaranarayana,2.0,12.0,1.0,39.0,0,0,0,1,2,Accident case
265,Manipal,2.0,12.0,1.0,51.0,1,0,1,0,1,Accident case
266,Kundapur,3.0,12.0,1.0,39.0,1,0,2,0,1,Accident case
267,Kundapur,3.0,12.0,1.0,39.0,0,0,0,0,2,Accident case
268,Shankaranarayana,1.0,1.0,0.0,39.0,0,0,1,1,2,Accident case
269,Hebri,1.0,1.0,0.0,39.0,1,0,1,1,1,Accident case
270,Sirva,2.0,1.0,0.0,39.0,0,0,0,1,2,Accident case
271,Kota,2.0,1.0,1.0,60.0,0,0,0,1,2,Accident case
272,Byndoor,1.0,1.0,1.0,50.0,0,0,1,6,2,Violence Act in case
273,Byndoor,1.0,1.0,1.0,45.0,0,0,0,0,2,Violence Act in case
274,Byndoor,2.0,1.0,0.0,54.0,1,0,3,5,1,Violence Act in case
275,Udupi,2.0,1.0,0.0,42.0,1,0,1,1,1,Accident case
276,Udupi,2.0,1.0,0.0,52.0,1,0,2,0,1,Accident case
277,Kota,0.0,1.0,0.0,47.0,1,0,2,1,1,Accident case
278,Hiriyadka,1.0,1.0,1.0,48.0,1,0,1,1,1,Accident case
279,Manipal,1.0,1.0,0.0,54.0,0,0,0,0,2,Theft case
280,Byndoor,0.0,1.0,1.0,22.0,1,0,3,0,1,Accident case
281,Manipal,1.0,1.0,1.0,40.0,1,0,2,0,1,Accident case
282,Byndoor,6.0,1.0,1.0,44.0,0,0,0,0,2,Accident case
283,Kota,1.0,1.0,1.0,63.0,1,0,1,0,1,Other case
284,Kundapur,5.0,1.0,0.0,60.0,1,0,2,0,1,Accident case
285,Hebri,0.0,1.0,0.0,38.0,1,0,2,1,1,Accident case
286,Sirva,0.0,1.0,0.0,35.0,1,0,4,0,1,Accident case
287,Shankaranarayana,6.0,1.0,0.0,19.0,1,0,2,0,1,Accident case
288,Shankaranarayana,6.0,1.0,1.0,39.0,0,0,0,0,2,Accident case
289,Manipal,4.0,1.0,0.0,46.0,1,0,3,3,1,Accident case
290,Kundapur,6.0,10.0,0.0,42.0,0,0,0,2,2,Theft case
291,Ajekar,5.0,1.0,1.0,37.0,1,0,2,2,1,Accident case
292,Udupi,3.0,1.0,0.0,35.0,1,0,1,2,1,Accident case
293,Kollur,5.0,1.0,1.0,46.0,0,0,3,3,2,Accident case
294,Kundapur,5.0,1.0,0.0,55.0,0,0,0,0,2,Accident case
295,Kundapur,6.0,1.0,0.0,50.0,1,0,1,2,1,Accident case
296,Karkala,6.0,7.0,0.0,35.0,0,1,0,4,0,Other case
299,Karkala,0.0,1.0,0.0,27.0,1,0,2,0,1,Accident case
300,Kundapur,5.0,1.0,1.0,36.0,0,0,0,0,2,Accident case
301,Kundapur,5.0,1.0,0.0,39.0,0,0,1,1,2,Accident case
302,Udupi,2.0,7.0,0.0,39.0,1,0,1,0,1,Other case
303,Sirva,5.0,1.0,0.0,39.0,1,0,1,1,1,Accident case
304,Kundapur,5.0,1.0,1.0,15.0,0,0,0,0,2,Accident case
306,Byndoor,5.0,1.0,0.0,26.0,1,0,4,2,1,Accident case
307,Udupi,0.0,1.0,1.0,39.0,1,0,2,0,1,Accident case
308,Karkala,5.0,1.0,0.0,39.0,1,0,1,0,1,Theft case
309,Kollur,3.0,1.0,0.0,35.0,1,0,1,0,1,Accident case
310,Kundapur,4.0,1.0,0.0,39.0,1,0,1,1,1,Accident case
311,Udupi,1.0,11.0,0.0,48.0,1,0,1,0,1,Theft case
312,Byndoor,0.0,1.0,1.0,37.0,0,0,2,2,2,Other case
313,Karkala,3.0,1.0,1.0,42.0,0,0,0,0,2,Accident case
314,Manipal,5.0,1.0,0.0,22.0,1,0,1,0,1,Missing case
315,Udupi,3.0,1.0,1.0,52.0,0,0,0,3,2,Violence Act in case
316,Udupi,2.0,1.0,0.0,36.0,0,0,0,1,2,Violence Act in case
317,Kota,1.0,1.0,1.0,35.0,1,0,2,0,1,Violence Act in case
318,Kota,1.0,1.0,1.0,74.0,1,0,2,0,1,Accident case
319,Kundapur,2.0,1.0,1.0,39.0,0,0,0,0,2,Accident case
320,Kundapur,3.0,1.0,1.0,50.0,0,0,0,0,2,Accident case
321,Shankaranarayana,1.0,1.0,1.0,32.0,0,0,0,0,2,Other case
322,Udupi,3.0,1.0,0.0,41.0,0,0,0,1,2,Accident case
323,Hebri,2.0,1.0,1.0,26.0,1,0,1,2,1,Accident case
324,Kundapur,2.0,1.0,0.0,50.0,1,0,1,0,1,Theft case
325,Kundapur,2.0,1.0,1.0,26.0,1,0,1,1,1,Other case
326,Udupi,6.0,1.0,1.0,20.0,1,0,1,1,1,Accident case
327,Karkala,3.0,1.0,1.0,71.0,0,0,0,2,2,Missing case
331,Kundapur,0.0,1.0,1.0,39.0,0,0,1,1,2,Accident case
332,Manipal,5.0,1.0,1.0,45.0,1,0,3,0,1,Accident case
333,Karkala,0.0,1.0,1.0,39.0,1,0,1,0,1,Jugari case
334,Kundapur,2.0,7.0,0.0,1.0,0,0,0,1,2,Other case
335,Udupi,3.0,12.0,1.0,39.0,1,0,2,0,1,Other case
336,Udupi,6.0,1.0,1.0,68.0,0,0,0,0,2,Accident case
337,Karkala,3.0,1.0,1.0,20.0,1,0,1,0,1,Accident case
338,Udupi,6.0,1.0,1.0,20.0,1,0,3,0,1,Accident case
339,Kundapur,6.0,1.0,0.0,51.0,1,0,2,1,1,Other case
340,Hebri,6.0,1.0,0.0,1.0,1,0,2,1,1,Other case
341,Karkala,5.0,1.0,1.0,27.0,1,0,1,2,1,Accident case
342,Karkala,5.0,1.0,1.0,23.0,1,0,3,0,1,Accident case
343,Kundapur,5.0,1.0,0.0,70.0,0,0,0,1,2,Missing case
344,Shankaranarayana,5.0,1.0,1.0,39.0,0,0,0,0,2,Accident case
345,Shankaranarayana,5.0,1.0,1.0,14.0,0,0,0,0,2,Accident case
346,Byndoor,5.0,1.0,0.0,36.0,1,0,1,2,1,Missing case
349,Manipal,4.0,1.0,0.0,1.0,1,0,1,2,1,Jugari case
350,Udupi,3.0,1.0,1.0,45.0,1,0,1,0,1,Accident case
351,Udupi,4.0,1.0,1.0,65.0,1,0,1,1,1,Accident case
352,Udupi,5.0,2.0,1.0,39.0,0,0,0,0,2,Accident case
353,Sirva,5.0,2.0,1.0,64.0,1,0,2,0,1,Accident case
355,Udupi,5.0,2.0,1.0,49.0,0,0,0,0,2,Other case
356,Kundapur,5.0,2.0,0.0,44.0,1,0,1,1,1,Other case
357,Kundapur,5.0,2.0,1.0,40.0,1,0,1,0,1,Other case
358,Byndoor,5.0,2.0,0.0,30.0,0,0,0,1,2,Accident case
359,Udupi,4.0,2.0,0.0,29.0,0,0,0,0,2,Theft case
360,Kundapur,4.0,2.0,0.0,48.0,0,0,0,0,2,Accident case
361,Karkala,4.0,2.0,1.0,19.0,1,0,2,0,1,Accident case
362,Udupi,4.0,2.0,1.0,59.0,0,0,0,0,2,Other case
363,Udupi,4.0,2.0,1.0,32.0,1,0,3,7,1,Other case
364,Karkala,5.0,1.0,1.0,41.0,1,0,1,0,1,Accident case
365,Udupi,2.0,1.0,1.0,47.0,1,0,1,0,1,Missing case
367,Kota,2.0,2.0,1.0,27.0,1,0,3,0,1,Accident case
369,Shankaranarayana,3.0,2.0,0.0,20.0,1,0,2,0,1,Accident case
370,Kota,2.0,2.0,0.0,31.0,1,0,2,1,1,Accident case
371,Manipal,3.0,1.0,1.0,52.0,1,0,2,0,1,Accident case
373,Udupi,2.0,2.0,0.0,23.0,0,1,0,1,0,Accident case
374,Hiriyadka,1.0,2.0,0.0,61.0,0,1,3,1,0,Accident case
375,Udupi,2.0,2.0,1.0,66.0,1,0,1,0,1,Accident case
376,Kota,2.0,2.0,1.0,34.0,1,0,1,2,1,Accident case
377,Kota,1.0,2.0,1.0,33.0,1,0,2,0,1,Accident case
378,Udupi,2.0,2.0,0.0,39.0,1,0,5,0,1,Accident case
379,Udupi,2.0,2.0,1.0,39.0,1,0,1,0,1,Accident case
380,Shankaranarayana,1.0,2.0,1.0,32.0,0,0,0,0,2,Other case
381,Karkala,1.0,2.0,1.0,42.0,1,0,3,0,1,Accident case
382,Kundapur,1.0,2.0,1.0,25.0,0,0,0,0,2,Theft case
383,Karkala,6.0,1.0,1.0,65.0,1,0,1,3,1,Violence Act in case
384,Karkala,6.0,1.0,1.0,35.0,0,0,0,3,2,Violence Act in case
385,Karkala,4.0,5.0,0.0,39.0,1,0,4,11,1,Other case
386,Udupi,6.0,2.0,0.0,39.0,0,0,1,2,2,Other case
387,Karkala,4.0,2.0,0.0,26.0,1,0,3,5,1,Violence Act in case
388,Karkala,1.0,2.0,1.0,39.0,0,0,0,1,2,Violence Act in case
389,Kundapur,2.0,7.0,0.0,55.0,1,0,3,0,1,Violence Act in case
390,Karkala,5.0,2.0,0.0,42.0,1,0,3,1,1,Violence Act in case
391,Hiriyadka,5.0,2.0,1.0,30.0,1,0,2,0,1,Violence Act in case
392,Udupi,5.0,2.0,0.0,34.0,1,0,2,0,1,Accident case
